노선번호,총운행횟수,첫차,막차,구분
5513,117,0530,2330,1
5515,68,0530,2330,1
5515,128,0530,2330,1
5516,125,0500,2300,1
5517,84,0430,2230,1
5519,83,0600,2325,1
5523,120,0430,2320,1
5524,130,0400,2230,1
5525,72,0450,2320,1
5528,121,0430,2250,1
5530,122,0440,2250,1
5531,185,0420,2300,1
5534,96,0415,2300,1
5535,107,0430,2310,1
5536,164,0430,2320,1
5537,94,0430,2330,1
5615,124,0410,2300,1
5616,79,0420,2220,1
5617,144,0450,2350,1
5618,116,0330,2210,1
5619,132,0430,2330,1
5620,145,0430,2310,1
5621,159,0520,2350,1
5623,155,0400,2240,1
5624,62,0410,2300,1
5625,102,0400,2240,1
5626,120,0405,2230,1
5627,75,0430,2330,1
5630,81,0415,2300,1
5633,94,0420,2250,1
5712,120,0430,2230,1
5713,120,0400,2220,1
5714,146,0415,2220,1
6211,99,0420,2240,1
6411,104,0400,2240,1
6511,76,0410,2310,1
6512,116,0350,2230,1
6513,127,0430,2230,1
6514,103,0400,2200,1
6515,122,0410,2210,1
6516,75,0400,2200,1
6611,77,0500,0000,1
6613,70,0430,2250,1
6614,91,0430,2240,1
6616,96,0430,2310,1
6617,97,0500,2330,1
6620,72,0530,2330,1
6623,89,0410,2300,1
6624,136,0500,2340,1
6625,87,0430,2300,1
6627,79,0430,2310,1
6628,177,0420,2330,1
6629,113,0430,2250,1
6630,66,0420,2250,1
6631,148,0420,2250,1
6632,114,0430,2300,1
6635,91,0430,2350,1
6637,183,0430,2310,1
6638,80,0430,2300,1
6642,94,0440,2230,1
6645,94,0440,2230,1
6647,120,0500,2300,1
6648,82,0430,2330,1
6649,82,0550,2350,1
6654,85,0500,2330,1
6657,58,0500,2300,1
6712,78,0430,2250,1
6714,68,0430,2300,1
6715,134,0440,2330,1
6716,120,0430,2220,1
7011,108,0430,2310,1
7016,139,0430,2230,1
7017,126,0430,2300,1
7018,127,0430,2300,1
7019,132,0430,2255,1
7021,134,0430,2300,1
7022,135,0430,2310,1
7024,67,0530,2310,1
7025,108,0430,2320,1
7211,45,0410,2300,1
7211,115,0410,2300,1
7212,96,0400,2150,1
7611,93,0410,2240,1
7612,184,0433,2340,1
7613,83,0430,2300,1
7711,113,0430,2400,1
7713,84,0500,2330,1
7715,115,0430,2330,1
7719,45,0420,2300,1
7720,116,0430,2310,1
7722,97,0430,2350,1
7723,126,0440,0000,1
7726,60,0500,2400,1
7727,94,0430,2300,1
7728,90,0400,2200,1
7730,130,0430,2300,1
7734,75,0400,2300,1
7737,100,0505,2310,1
7738,127,0500,2320,1
7739,78,0500,2320,1
8111,4,0640,1700,1
8221,12,0640,0840,1
8221,3,0700,0900,1
8221,5,0640,0840,1
8221,3,0700,0900,1
8331,6,0720,0920,1
8331,6,0720,0920,1
8441,3,0640,0840,1
8441,8,0640,0840,1
8541,3,0400,0440,1
8551,4,0650,0850,1
8551,2,0650,0850,1
8551,4,0650,0850,1
8552,6,0700,0900,1
8552,6,0700,0900,1
8761,6,0700,1930,1
8761,6,0700,1930,1
8761,12,0700,1930,1
8771,12,0700,0900,1
8774,36,0500,2120,1
8777,0,0000,0000,1
9401,75,0430,2300,1
9401,222,0430,2300,1
9403,92,0500,2400,1
9404,180,0400,2330,1
9408,84,0400,2230,1
9701,82,0500,2350,1
9703,80,0500,2300,1
9707,146,0500,0100,1
9709,52,0450,0050,1
9714,33,0500,0100,1
110A,120,0400,2240,1
110B,120,0405,2245,1
2312A,48,0430,2250,1
2312B,42,0430,2250,1
4318방배,85,0430,2230,1
4318풍납,80,0420,2230,1
5522A,105,0500,2330,1
5522B,70,0500,2330,1
5522B,30,0500,2330,1
6640A,99,0430,2310,1
6640B,99,0430,2310,1
7013A,45,0430,2308,1
7013B,45,0444,2310,1
702A,176,0400,2300,1
702B,102,0405,2250,1
750A,82,0400,2310,1
750B,84,0400,2310,1
9711A,74,0500,2330,1
N13상계,4,0000,0325,1
N13송파,4,0000,0120,1
N15사당,4,2400,0130,1
N15우이,4,2400,0130,1
N16도봉,4,0010,0130,1
N16온수,4,0020,0140,1
N26강서,4,0000,0130,1
N26중랑,4,0000,0130,1
N30,8,2320,0340,1
N37송파,4,0000,0115,1
N37진관,4,0000,0115,1
N61상계,5,2340,0410,1
N61양천,5,2340,0410,1
